iters,fevals,fitness,time
0,17610,489.0,0.11524540000000627
1,35203,496.0,0.217252000000002
2,52821,497.0,0.3185714990000008
3,70380,498.0,0.41982719899999665
4,88013,497.0,0.5203668989999954
5,105622,501.0,0.6210303989999915
6,123191,502.0,0.7203610979999837
7,140802,505.0,0.821601596999983
8,158366,506.0,0.92265309699998
9,175962,506.0,1.0229438969999762
10,193565,508.0,1.124224696999974
11,211185,514.0,1.22577129699998
12,228781,514.0,1.326605397999984
13,246366,514.0,1.4287799979999818
14,263939,514.0,1.5295601969999808
15,281527,517.0,1.6293102959999857
16,299127,518.0,1.730396094999989
17,316705,520.0,1.8320521949999886
18,334292,520.0,1.9320877949999868
19,351851,523.0,2.0331352949999797
20,369458,524.0,2.1351305949999784
21,387059,528.0,2.2366152949999787
22,404635,529.0,2.337472694999974
23,422256,530.0,2.438036394999969
24,439819,530.0,2.5392312939999613
25,457411,534.0,2.6423707929999694
26,475018,534.0,2.7455833929999756
27,492633,535.0,2.849014392999976
28,510229,535.0,2.950103193999979
29,527832,539.0,3.0519838939999886
30,545433,541.0,3.154300293999981
31,563006,544.0,3.2560018939999935
32,580593,544.0,3.3565385939999857
33,598191,544.0,3.4580768949999765
34,615812,540.0,3.5596881939999747
35,633399,539.0,3.6606478929999753
36,651008,540.0,3.762343192999978
37,668579,541.0,3.8633434919999843
38,686179,542.0,3.965224491999976
39,703768,544.0,4.067089791999976
40,721384,544.0,4.167433390999975
41,738971,550.0,4.269164990999968
42,756561,550.0,4.370607691999965
43,774159,554.0,4.471881091999975
44,791758,554.0,4.573552891999981
45,809338,554.0,4.6746987919999725
46,826958,553.0,4.77609409199998
47,844529,551.0,4.877590490999978
48,862101,553.0,4.978351490999984
49,879697,555.0,5.079895590999982
50,897276,556.0,5.181717290999984
51,914878,557.0,5.283146790999979
52,932480,557.0,5.384808290999985
53,950070,559.0,5.486513090999978
54,967662,559.0,5.586601690999984
55,985248,559.0,5.688549390999981
56,1002859,564.0,5.790290290999977
57,1020474,565.0,5.890240790999982
58,1038071,563.0,5.991309290999979
59,1055668,565.0,6.093868890999985
60,1073268,565.0,6.196442690999987
61,1090834,565.0,6.298793190999987
62,1108440,567.0,6.400607890999979
63,1126017,566.0,6.502355590999969
64,1143604,565.0,6.604941790999973
65,1161215,565.0,6.70640788999998
66,1178795,566.0,6.806147689999989
67,1196380,565.0,6.9073993909999984
68,1213984,563.0,7.008036192000006
69,1231569,564.0,7.109944291000005
70,1249187,563.0,7.215050191000003
71,1266771,565.0,7.319271690000008
72,1284353,565.0,7.421940790000008
73,1301964,564.0,7.523555591000019
74,1319592,566.0,7.624799492000022
75,1337191,568.0,7.72679529100003
76,1354778,569.0,7.828256391000025
77,1372348,570.0,7.931364991000024
78,1389973,570.0,8.03372999200002
79,1407588,570.0,8.135269691000019
80,1425178,570.0,8.237983391000029
81,1442795,570.0,8.340561291000029
82,1460384,570.0,8.444972691000032
83,1477992,571.0,8.547167092000038
84,1495582,568.0,8.649908291000031
85,1513154,572.0,8.75045079100002
86,1530725,572.0,8.851324791000025
87,1548313,570.0,8.953931291000018
88,1565888,570.0,9.05493379100001
89,1583475,572.0,9.157391691
90,1601099,573.0,9.259151490999997
91,1618681,575.0,9.359999990999995
92,1636269,575.0,9.461852289999996
93,1653885,577.0,9.564252789999998
94,1671480,578.0,9.665967789999996
95,1689071,582.0,9.768401591
96,1706675,583.0,9.870118891000004
97,1724254,584.0,9.972449291000004
98,1741847,582.0,10.074914790999998
99,1759435,586.0,10.177076991999996
100,1777004,586.0,10.278099791000002
101,1794572,588.0,10.381057591000001
102,1812207,588.0,10.483341589999995
103,1829805,590.0,10.584947389999982
104,1847423,590.0,10.68746708899998
105,1865031,592.0,10.790010388999974
106,1882641,591.0,10.892418989999967
107,1900263,589.0,10.994570788999965
108,1917858,593.0,11.096260888999964
109,1935474,593.0,11.197700688999959
110,1953087,591.0,11.300310488999955
111,1970704,590.0,11.40336188799995
112,1988293,592.0,11.506157787999953
113,2005868,592.0,11.60789388799995
114,2023481,593.0,11.710135187999953
115,2041076,593.0,11.810995287999958
116,2058674,594.0,11.912220987999959
117,2076261,593.0,12.01329628699996
118,2093854,592.0,12.11532118699995
119,2111437,589.0,12.21720888799996
120,2129015,589.0,12.31967068799996
121,2146606,592.0,12.42204648699996
122,2164203,594.0,12.524445786999962
123,2181823,591.0,12.629668785999968
124,2199394,591.0,12.733929585999974
125,2216998,595.0,12.837896885999967
126,2234594,597.0,12.941739886999969
127,2252214,592.0,13.044862685999973
128,2269854,593.0,13.14692248599998
129,2287469,595.0,13.25051378599997
130,2305072,596.0,13.352606185999974
131,2322660,596.0,13.455324585999975
132,2340254,595.0,13.557388984999974
133,2357823,596.0,13.659372085999976
134,2375439,595.0,13.760935385999971
135,2393070,596.0,13.863499085999976
136,2410644,597.0,13.966065884999963
137,2428176,598.0,14.068874985999969
138,2445758,602.0,14.173340686999964
139,2463325,602.0,14.28669508699997
140,2480902,602.0,14.40358888699997
141,2498498,599.0,14.52548228599997
142,2516083,597.0,14.651783785999967
143,2533667,598.0,14.772076684999973
144,2551261,600.0,14.884974584999966
145,2568833,599.0,14.994286183999975
146,2586431,598.0,15.103230983999978
147,2604045,601.0,15.210470583999978
148,2621625,599.0,15.315851983999977
