iters,fevals,fitness,time
0,366682,51.0,0.485319299999901
1,733166,65.0,1.0130043999997724
2,1099393,76.0,1.564787799999067
3,1465827,101.0,2.081411099999059
4,1832437,106.0,2.5949477999984083
5,2198911,115.0,3.1057503999982146
6,2565353,122.0,3.605874999997468
7,2931865,129.0,4.168063099997198
8,3298280,137.0,4.693101699996987
9,3664661,145.0,5.208007199997155
10,4031068,143.0,5.735344299996541
11,4397301,150.0,6.25174629999583
12,4763680,152.0,6.787636299995938
13,5130251,162.0,7.377715499996157
14,5496695,165.0,7.916364699995938
15,5863372,169.0,8.448500099995726
16,6229729,172.0,8.989062399995419
17,6596104,172.0,9.528160599995317
18,6962754,180.0,10.108314299995982
19,7329662,185.0,10.68686479999542
20,7696018,189.0,11.234506599995257
21,8062477,196.0,11.752755399994385
22,8429164,205.0,12.288426499994785
23,8795717,204.0,12.89603719999559
24,9162129,205.0,13.45381169999564
25,9529009,222.0,13.9981583999961
26,9895686,231.0,14.55266479999591
27,10261826,234.0,15.093534999996336
28,10628111,234.0,15.653145099996436
29,10994339,233.0,16.266421999996965
30,11361236,232.0,16.835755999997673
31,11728003,233.0,17.379394599997795
32,12094245,233.0,17.929977799998596
33,12460795,234.0,18.482119699999203
34,12827334,236.0,19.100552299999435
35,13193821,237.0,19.65906089999862
36,13559866,251.0,20.211366499998803
37,13926251,250.0,20.74713899999915
38,14292468,249.0,21.311073799999576
39,14659131,253.0,21.949699599998894
40,15025705,253.0,22.545637699999133
41,15392176,252.0,23.09145769999941
42,15759250,248.0,23.64790659999926
43,16125773,251.0,24.18968329999916
44,16492289,248.0,24.79766869999912
45,16858815,250.0,25.37522109999918
46,17225637,250.0,25.962985399999525
47,17591912,254.0,26.52395819999947
48,17958309,258.0,27.086777199999233
49,18324640,257.0,27.70533819999946
50,18691191,258.0,28.26815749999969
51,19057718,265.0,28.827261499999622
52,19424048,264.0,29.402188199999728
53,19790009,264.0,29.967701800000214
54,20156278,266.0,30.580183000000034
55,20522677,275.0,31.19510959999934
56,20889270,283.0,31.792645299999094
57,21255751,286.0,32.372047399999246
58,21622156,276.0,32.96940459999951
59,21988803,278.0,33.574950100000024
60,22355375,279.0,34.24363279999943
61,22721678,268.0,34.83666279999943
62,23088171,272.0,35.4109841999998
63,23454930,274.0,35.993725299999824
64,23821835,281.0,36.5936144999996
65,24188190,281.0,37.20239589999892
66,24554928,284.0,37.819735899998705
67,24921309,292.0,38.49579099999937
68,25287436,293.0,39.37652679999883
69,25654312,304.0,40.10970359999919
70,26020804,306.0,40.83494079999946
71,26387265,305.0,41.52658159999919
72,26753911,300.0,42.22465489999922
73,27120675,297.0,42.9191566999998
74,27487334,293.0,43.63480189999973
75,27853906,293.0,44.37837740000032
76,28220091,290.0,45.028956400000425
77,28586581,287.0,45.619764200000645
78,28953457,291.0,46.21351830000003
79,29320440,293.0,46.83506519999992
80,29686899,293.0,47.467560299999604
81,30053246,302.0,48.07380540000031
82,30419488,304.0,48.65771730000051
83,30786163,305.0,49.25413740000022
84,31152656,307.0,49.865324900000815
85,31519043,311.0,50.48898780000127
86,31885537,312.0,51.102123100001336
87,32251674,323.0,51.688167400001475
88,32618038,316.0,52.29762660000142
89,32984773,323.0,52.9898602000012
