iters,fevals,fitness,time
0,60000,9.0,57.15147999999863
1,120200,17.0,105.5200533999996
2,180400,19.0,154.344544399999
3,240600,20.0,203.43216559999928
4,300800,21.0,249.2302727999995
5,361000,24.0,295.8787358999998
6,421200,26.0,344.3539866990013
7,481400,30.0,390.7466663989999
8,541600,29.0,435.6249157989987
9,601800,33.0,482.0994145989989
10,662000,33.0,530.105300498999
11,722200,34.0,578.105967599
12,782400,37.0,627.5848117990008
13,842600,41.0,673.8917464990009
14,902800,39.0,721.3983638990012
15,963000,39.0,768.8503375990022
16,1023200,39.0,815.0579249980037
17,1083400,39.0,862.6764556980033
18,1143600,42.0,907.2333030980026
19,1203800,42.0,955.2463415990023
20,1264000,42.0,1000.7371945000032
21,1324200,42.0,1047.5592375990036
22,1384400,43.0,1091.7891195990032
23,1444600,42.0,1136.821059400003
24,1504800,43.0,1182.9224040000026
25,1565000,42.0,1228.4635921000026
26,1625200,47.0,1274.2838022990018
27,1685400,47.0,1320.3788756990016
28,1745600,47.0,1365.1818879990024
29,1805800,49.0,1411.7583664990016
30,1866000,47.0,1458.7250043990025
31,1926200,47.0,1504.565383799003
32,1986400,53.0,1549.494843299004
33,2046600,52.0,1594.7271478990042
34,2106800,50.0,1641.314057999005
35,2167000,49.0,1689.4065536980033
36,2227200,55.0,1734.4621676980023
37,2287400,55.0,1778.5869051980026
38,2347600,71.0,1824.3294534990018
39,2407800,58.0,1868.7591913000015
40,2468000,62.0,1915.9835207000015
41,2528200,60.0,1962.228959801003
42,2588400,60.0,2008.7879293010028
43,2648600,64.0,2052.5145779010018
44,2708800,60.0,2095.781357300002
45,2769000,60.0,2137.7745030990027
46,2829200,62.0,2180.1887038990026
47,2889400,60.0,2223.576469499003
48,2949600,60.0,2266.1457683980025
49,3009800,60.0,2311.802280298003
50,3070000,64.0,2355.585460598004
51,3130200,64.0,2399.768471498004
52,3190400,66.0,2444.6721245980043
53,3250600,66.0,2488.5536971980036
54,3310800,66.0,2531.967511798004
55,3371000,66.0,2575.3687573970037
56,3431200,66.0,2621.0410107970038
57,3491400,70.0,2665.713302797003
58,3551600,71.0,2709.9148637980034
59,3611800,71.0,2756.638460498003
60,3672000,72.0,2804.9159731980035
61,3732200,71.0,2849.9791379980034
62,3792400,72.0,2895.7124685980034
63,3852600,72.0,2941.033385098004
64,3912800,72.0,2985.8583004980046
65,3973000,76.0,3028.5537456980037
66,4033200,78.0,3073.143790998003
67,4093400,79.0,3115.029023998004
68,4153600,77.0,3157.8674699990042
69,4213800,85.0,3200.966338199003
70,4274000,80.0,3243.6112735990027
71,4334200,91.0,3288.7289122990023
72,4394400,89.0,3332.1994334980027
73,4454600,89.0,3371.5469339990013
74,4514800,89.0,3411.302050999002
75,4575000,89.0,3451.2790567990014
76,4635200,89.0,3491.6565157990008
77,4695400,89.0,3535.268591598
78,4755600,89.0,3577.012943697
79,4815800,89.0,3616.639790297
80,4876000,91.0,3656.3672617970005
81,4936200,89.0,3696.0578205970014
82,4996400,89.0,3734.417480897002
83,5056600,91.0,3774.4685812980024
84,5116800,90.0,3814.153644598002
85,5177000,89.0,3854.194038298001
86,5237200,89.0,3895.976457898001
87,5297400,89.0,3936.4895446980026
88,5357600,91.0,3976.4158100970035
89,5417800,91.0,4018.6176300970037
90,5478000,89.0,4059.139324397005
91,5538200,90.0,4098.163228097006
92,5598400,90.0,4138.275755697006
93,5658600,90.0,4178.8389375970055
94,5718800,90.0,4218.783312696005
95,5779000,89.0,4261.270151196006
96,5839200,92.0,4306.949048796005
97,5899400,90.0,4347.049069196006
98,5959600,90.0,4386.362400096006
99,6019800,92.0,4428.717779696006
100,6080000,92.0,4471.688390496007
101,6140200,90.0,4510.052338796006
102,6200400,90.0,4549.243620696005
103,6260600,92.0,4589.055302196004
104,6320800,92.0,4628.290273395003
105,6381000,92.0,4668.966889996002
106,6441200,93.0,4709.544410396
107,6501400,92.0,4750.771770796
108,6561600,93.0,4793.030164996002
109,6621800,90.0,4832.981922596002
110,6682000,93.0,4872.320442095002
111,6742200,90.0,4911.531471095004
112,6802400,90.0,4951.244542195003
113,6862600,94.0,4990.806735895003
114,6922800,94.0,5031.166828095003
115,6983000,94.0,5071.334258395003
116,7043200,94.0,5119.602023695003
117,7103400,90.0,5162.079600494002
118,7163600,90.0,5203.159431993001
119,7223800,90.0,5244.182531093
120,7284000,94.0,5283.464343292999
121,7344200,90.0,5323.156382293997
122,7404400,90.0,5362.854337593999
123,7464600,94.0,5403.060794793997
124,7524800,94.0,5442.778110793995
125,7585000,94.0,5484.125058593996
126,7645200,90.0,5524.620383594996
127,7705400,90.0,5568.552768493999
128,7765600,94.0,5612.197433194
129,7825800,96.0,5654.338186295001
130,7886000,96.0,5694.541265594999
131,7946200,96.0,5733.560651993997
132,8006400,96.0,5772.119615793999
133,8066600,99.0,5812.086075293999
134,8126800,99.0,5858.036551194
135,8187000,101.0,5898.624430794996
136,8247200,99.0,5937.633930194996
137,8307400,101.0,5977.316769895995
138,8367600,99.0,6016.101078795997
139,8427800,99.0,6055.592052696997
140,8488000,101.0,6095.397025295995
141,8548200,99.0,6133.607369995996
142,8608400,101.0,6173.016140995998
143,8668600,99.0,6212.453946595997
144,8728800,99.0,6251.288699495999
145,8789000,99.0,6291.268072095001
146,8849200,101.0,6331.076202196004
147,8909400,99.0,6371.251980996003
148,8969600,101.0,6410.947117496005
149,9029800,99.0,6450.254725196006
150,9090000,99.0,6488.219373496006
151,9150200,99.0,6529.612306996005
152,9210400,99.0,6570.6552439950065
153,9270600,101.0,6610.396897895003
154,9330800,101.0,6649.444534596005
155,9391000,103.0,6688.456426096003
156,9451200,103.0,6727.668817396003
157,9511400,112.0,6770.232588996005
158,9571600,113.0,6813.335475195006
159,9631800,106.0,6855.510057996005
160,9692000,106.0,6895.582286396006
161,9752200,103.0,6936.212109596003
162,9812400,106.0,6975.295069896001
163,9872600,103.0,7014.1865226960035
164,9932800,103.0,7053.519392796003
165,9993000,106.0,7091.595362696004
166,10053200,103.0,7132.176100496003
167,10113400,103.0,7172.882634095
168,10173600,106.0,7211.714557094001
169,10233800,103.0,7251.138248994001
170,10294000,106.0,7290.899996993001
171,10354200,103.0,7329.326189392999
172,10414400,106.0,7369.133733792998
173,10474600,103.0,7407.986076592999
174,10534800,106.0,7446.367660494001
175,10595000,103.0,7485.511608795001
176,10655200,103.0,7524.948364295
177,10715400,104.0,7563.539609995001
178,10775600,103.0,7602.685458194999
179,10835800,103.0,7642.331072096
180,10896000,106.0,7680.620769096
181,10956200,103.0,7719.749842096
182,11016400,106.0,7758.828593996001
183,11076600,103.0,7797.462823097001
184,11136800,103.0,7837.3383235969995
185,11197000,106.0,7875.1001217959965
186,11257200,106.0,7914.432298796994
187,11317400,106.0,7953.5775230979925
188,11377600,103.0,7991.762378597992
189,11437800,103.0,8032.253466398994
190,11498000,103.0,8072.156224997991
191,11558200,110.0,8110.625207397989
192,11618400,103.0,8150.36924309899
193,11678600,103.0,8189.519657297991
194,11738800,103.0,8227.681008596992
195,11799000,103.0,8266.498366295993
196,11859200,110.0,8305.911363195992
197,11919400,103.0,8344.038039794992
198,11979600,110.0,8383.35782659399
199,12039800,103.0,8422.45227589399
200,12100000,103.0,8461.217108493987
201,12160200,103.0,8500.550577593986
202,12220400,110.0,8539.469365593985
203,12280600,103.0,8578.241808993986
204,12340800,106.0,8619.455326293984
205,12401000,106.0,8661.916917093986
206,12461200,103.0,8700.261797394985
207,12521400,106.0,8739.802344095984
208,12581600,103.0,8778.426690795986
209,12641800,103.0,8817.722648195988
210,12702000,103.0,8857.864689995986
211,12762200,103.0,8896.756598496988
212,12822400,103.0,8935.865409596987
213,12882600,103.0,8975.132095197987
214,12942800,103.0,9013.434171697987
215,13003000,103.0,9052.96773249799
216,13063200,103.0,9091.763124197987
217,13123400,103.0,9130.766718597988
218,13183600,103.0,9169.97532629699
219,13243800,103.0,9209.58501909699
220,13304000,103.0,9247.490295295993
221,13364200,103.0,9287.149414695996
222,13424400,103.0,9326.214079095997
223,13484600,103.0,9364.522516795994
224,13544800,103.0,9404.485824996995
225,13605000,106.0,9443.754279695997
226,13665200,110.0,9483.268185695997
227,13725400,103.0,9523.420968595998
228,13785600,103.0,9562.799362295998
229,13845800,106.0,9600.889471195998
230,13906000,103.0,9640.627170696
231,13966200,103.0,9680.163759995998
232,14026400,106.0,9723.585273595
233,14086600,103.0,9763.490058293999
234,14146800,103.0,9803.880590592998
235,14207000,103.0,9842.195746492998
236,14267200,110.0,9881.204247193
237,14327400,106.0,9919.936506093
238,14387600,103.0,9958.643546292999
239,14447800,106.0,9998.278975892998
240,14508000,106.0,10037.046187893
241,14568200,106.0,10079.531791393001
242,14628400,103.0,10122.346022093
243,14688600,103.0,10162.878590092998
244,14748800,106.0,10201.782268093
245,14809000,103.0,10241.388764693002
246,14869200,103.0,10280.579952293003
247,14929400,103.0,10318.931352493004
248,14989600,103.0,10363.092145693005
249,15049800,106.0,10404.350398293005
250,15110000,103.0,10443.229300193005
251,15170200,103.0,10482.789421993006
252,15230400,103.0,10524.189138993006
253,15290600,103.0,10563.019398093005
254,15350800,103.0,10602.187274293003
255,15411000,103.0,10642.298489693003
256,15471200,103.0,10681.039769693005
257,15531400,103.0,10720.668287593002
258,15591600,103.0,10759.307886693001
259,15651800,106.0,10798.053691092999
260,15712000,106.0,10838.239631393
261,15772200,103.0,10876.465358293
262,15832400,103.0,10915.526057693001
263,15892600,103.0,10954.774097593003
264,15952800,103.0,10992.820110393
265,16013000,106.0,11032.051211393002
266,16073200,106.0,11071.325924293003
267,16133400,103.0,11109.471005393003
268,16193600,106.0,11149.315853693002
269,16253800,103.0,11188.825984193001
270,16314000,103.0,11226.717155393002
271,16374200,103.0,11265.724576393
272,16434400,103.0,11305.491844893
273,16494600,103.0,11343.609548593002
274,16554800,103.0,11383.190844193003
275,16615000,103.0,11422.272614493002
276,16675200,106.0,11460.086590993
277,16735400,103.0,11499.422812193003
278,16795600,106.0,11538.370761093003
279,16855800,103.0,11576.793323693004
280,16916000,106.0,11614.981475993001
281,16976200,103.0,11653.258587793
282,17036400,103.0,11692.593357593
283,17096600,103.0,11732.562989492999
284,17156800,103.0,11770.895265192998
285,17217000,103.0,11810.093842992996
286,17277200,106.0,11849.484837592998
287,17337400,103.0,11887.716126893
288,17397600,106.0,11926.760858593
289,17457800,103.0,11966.285457392998
290,17518000,103.0,12004.310235293
291,17578200,103.0,12045.149205093
292,17638400,110.0,12088.649855292999
293,17698600,103.0,12126.576701392998
294,17758800,103.0,12165.304092592996
295,17819000,103.0,12205.297372992998
296,17879200,103.0,12243.475776992997
297,17939400,110.0,12282.627186992999
298,17999600,110.0,12323.281932492999
299,18059800,103.0,12363.284763792999
