iters,fevals,fitness,time
0,20000,739.0,34.8951234999995
1,40200,769.0,67.83034359999965
2,60400,782.0,100.52732849999938
3,80600,792.0,133.0015268999996
4,100800,796.0,166.30343939999966
5,121000,799.0,198.1077437999993
6,141200,800.0,230.58440569999857
7,161400,800.0,261.6573868999985
8,181600,800.0,292.27133259999846
9,201800,800.0,323.2341362999987
10,222000,800.0,354.26614209999934
11,242200,800.0,385.2315700999998
12,262400,800.0,417.8666080999992
13,282600,800.0,449.7264314999993
14,302800,800.0,483.55574089999936
15,323000,800.0,517.016444599999
16,343200,800.0,551.6580443999992
17,363400,800.0,582.7332499999993
18,383600,800.0,611.6850577999994
19,403800,800.0,642.6911256999992
20,424000,800.0,674.8606626999999
21,444200,800.0,705.6104457000001
22,464400,800.0,734.8459947000001
23,484600,800.0,761.6312915999997
24,504800,800.0,788.7100342000003
25,525000,800.0,816.6600239999998
26,545200,800.0,845.3053983999998
27,565400,800.0,871.5820553999993
28,585600,800.0,897.5917787999988
29,605800,800.0,923.673494499998
30,626000,800.0,949.6471611999978
31,646200,800.0,975.4462932999977
32,666400,800.0,1001.4712757999978
33,686600,800.0,1027.0655665999975
34,706800,800.0,1053.2788407999979
35,727000,800.0,1079.2321541999981
36,747200,800.0,1105.248975999998
37,767400,800.0,1131.0715205999977
38,787600,800.0,1157.3641399999979
39,807800,800.0,1184.1531247999983
40,828000,800.0,1211.812706499998
41,848200,800.0,1239.2234385999982
42,868400,800.0,1266.9257228999977
43,888600,800.0,1293.9680083999974
44,908800,800.0,1321.2655926999978
45,929000,800.0,1347.030596399998
46,949200,800.0,1372.722659099998
47,969400,800.0,1398.8833515999977
48,989600,800.0,1425.1956960999978
49,1009800,800.0,1451.4067192999973
50,1030000,800.0,1477.510382999997
51,1050200,800.0,1503.3546309999974
52,1070400,800.0,1529.9960096999976
53,1090600,800.0,1557.725169999998
54,1110800,800.0,1585.4878267999975
55,1131000,800.0,2168.4353722999977
56,1151200,800.0,2198.6197158999976
57,1171400,800.0,2224.968370599998
58,1191600,800.0,2250.8472239999983
59,1211800,800.0,2279.556494999998
60,1232000,800.0,2308.561381399998
61,1252200,800.0,2337.836689599998
62,1272400,800.0,2363.6882842999976
63,1292600,800.0,2391.270744399998
64,1312800,800.0,2416.190308799998
65,1333000,800.0,2441.5728044999987
66,1353200,800.0,2466.3454944999985
67,1373400,800.0,2491.479417499999
68,1393600,800.0,2517.2746548999985
69,1413800,800.0,2542.3198350999983
70,1434000,800.0,2567.6469424999977
71,1454200,800.0,2592.299474899998
72,1474400,800.0,2618.800333899998
73,1494600,800.0,2644.175149599998
74,1514800,800.0,2671.136128099998
75,1535000,800.0,2699.8295716999974
76,1555200,800.0,2730.0622424999974
77,1575400,800.0,2762.2937888999977
78,1595600,800.0,2790.465984999997
79,1615800,800.0,2819.687057299997
80,1636000,800.0,2847.5058263999963
81,1656200,800.0,2877.2459557999955
82,1676400,800.0,2903.0911536999956
83,1696600,800.0,2932.637402599995
84,1716800,800.0,2960.5821815999943
85,1737000,800.0,2990.2050706999944
86,1757200,800.0,3019.428432099994
87,1777400,800.0,3049.0106641999946
88,1797600,800.0,3074.2043789999943
89,1817800,800.0,3101.4851564999935
90,1838000,800.0,3126.9984010999933
91,1858200,800.0,3152.9289362999934
92,1878400,800.0,3178.1211279999934
93,1898600,800.0,3205.781066099993
94,1918800,800.0,3233.5237557999926
95,1939000,800.0,3258.3008868999923
96,1959200,800.0,3285.724519799992
97,1979400,800.0,3313.244608599992
98,1999600,800.0,3338.1534707999917
99,2019800,800.0,3366.087118199992
