iters,fevals,fitness,time
0,80000,799.0,360.688751
1,160800,799.0,661.4695609000001
2,241600,799.0,962.8582635000001
3,322400,799.0,1263.8833564000001
4,403200,799.0,1566.4555014000002
5,484000,800.0,1874.0926619000002
6,564800,799.0,2180.4499276
7,645600,799.0,2486.2716733
8,726400,799.0,2792.6905675000003
9,807200,799.0,3093.4914968000003
10,888000,799.0,3398.8139951000003
11,968800,800.0,3700.4839924
12,1049600,800.0,4008.8276031000005
13,1130400,799.0,4325.900952800001
14,1211200,799.0,4635.6488809
15,1292000,799.0,4947.4109905
16,1372800,799.0,5256.9980148
17,1453600,799.0,5564.9594679
18,1534400,799.0,5878.3268924
19,1615200,799.0,6209.3180576
20,1696000,800.0,6514.872474600001
21,1776800,799.0,6821.568572900001
22,1857600,799.0,7125.836652900001
23,1938400,799.0,7426.711900800002
24,2019200,799.0,7733.478954600002
25,2100000,799.0,8035.730570600002
26,2180800,799.0,8334.728314700002
27,2261600,799.0,8633.221129100002
28,2342400,799.0,8936.701605500002
29,2423200,799.0,9245.181134100001
30,2504000,799.0,9554.868957800001
31,2584800,799.0,9860.7915275
32,2665600,799.0,10154.442255799999
33,2746400,800.0,10426.400828299998
34,2827200,799.0,10685.964412299998
35,2908000,799.0,10906.422223199997
36,2988800,800.0,11128.728823899997
37,3069600,799.0,11355.859560699997
38,3150400,799.0,11576.024857499999
39,3231200,799.0,11777.693732399997
40,3312000,799.0,11977.129176799997
41,3392800,800.0,12176.778218898997
42,3473600,799.0,12378.052848998997
43,3554400,799.0,12578.755360899997
44,3635200,799.0,12776.389134299998
45,3716000,800.0,12975.411102899998
46,3796800,800.0,13171.868149799999
47,3877600,799.0,13374.547367999998
48,3958400,800.0,13574.483802599998
49,4039200,799.0,13775.697545399998
50,4120000,799.0,13971.959289899998
51,4200800,799.0,14173.711765999997
52,4281600,799.0,14375.582982498996
53,4362400,799.0,14575.735785797997
54,4443200,799.0,14776.008115698998
55,4524000,799.0,14978.492802899998
56,4604800,799.0,15182.593867099999
57,4685600,799.0,15382.381371599999
58,4766400,799.0,15585.2004046
59,4847200,799.0,15787.537541100002
60,4928000,799.0,15985.136531
61,5008800,799.0,16186.365435799999
62,5089600,799.0,16387.129598399
63,5170400,799.0,16587.823135397997
64,5251200,799.0,16795.531122297998
65,5332000,799.0,16996.646788698
66,5412800,799.0,17197.751335298
67,5493600,799.0,17397.155615498996
68,5574400,799.0,17598.198044398996
69,5655200,799.0,17795.825540198995
70,5736000,799.0,17994.340563697995
71,5816800,799.0,18193.762176598993
72,5897600,799.0,18392.509731599992
73,5978400,799.0,18596.870624499992
74,6059200,799.0,18797.81089420099
75,6140000,799.0,18997.81111079999
76,6220800,799.0,19195.99054369999
77,6301600,799.0,19396.39521310099
78,6382400,799.0,19595.52464970199
79,6463200,799.0,19798.66001310199
80,6544000,800.0,19999.17376090199
81,6624800,799.0,20200.14903780099
82,6705600,799.0,20399.87373290099
83,6786400,799.0,20600.114000600992
84,6867200,799.0,20800.12390360099
85,6948000,800.0,20999.18938159999
86,7028800,799.0,21200.75085830099
87,7109600,799.0,21408.38615160099
88,7190400,799.0,21610.228733201988
89,7271200,799.0,21810.62846620199
90,7352000,799.0,22014.739678301987
91,7432800,800.0,22217.149160901987
92,7513600,799.0,22415.717261501984
93,7594400,799.0,22617.341148201984
94,7675200,799.0,22817.394702401984
95,7756000,799.0,23017.915140901983
96,7836800,800.0,23214.130961901985
97,7917600,799.0,23416.291528501984
98,7998400,799.0,23618.052221401984
99,8079200,799.0,23818.255743401984
