iters,fevals,fitness,time
0,100,408.0,0.00010759900000001377
1,200,442.0,0.00020879800000001003
2,300,466.0,0.0003092980000000134
3,400,483.0,0.00040639800000003
4,500,506.0,0.0005081990000000425
5,600,526.0,0.0006103990000000947
6,700,545.0,0.0007138990000000733
7,800,560.0,0.0028275990000000695
8,900,573.0,0.002933199000000053
9,1000,587.0,0.0030416990000000643
10,1100,603.0,0.0031491000000000158
11,1200,610.0,0.003256500000000051
12,1300,624.0,0.003367001000000036
13,1400,641.0,0.0034767020000000537
14,1500,653.0,0.0035944030000000793
15,1600,665.0,0.0037187040000000726
16,1700,676.0,0.0038387040000000816
17,1800,682.0,0.003961103000000077
18,1900,688.0,0.004083302000000122
19,2000,694.0,0.004237402000000112
20,2100,700.0,0.004363402000000127
21,2200,704.0,0.00448650200000017
22,2300,712.0,0.004615902000000172
23,2400,722.0,0.004743302000000171
24,2500,728.0,0.004868803000000144
25,2600,732.0,0.004998203000000145
26,2700,736.0,0.005125604000000117
27,2800,737.0,0.00525440300000013
28,2900,744.0,0.0053835040000000944
29,3000,748.0,0.005629405000000087
30,3100,753.0,0.005762805000000093
31,3200,756.0,0.005893705000000082
32,3300,757.0,0.006031305000000098
33,3400,760.0,0.006165305000000065
34,3500,763.0,0.006296905000000075
35,3600,764.0,0.006426405000000079
36,3700,765.0,0.006557206000000093
37,3800,765.0,0.006686405000000062
38,3900,766.0,0.006817205000000048
39,4000,767.0,0.006947906000000059
40,4100,770.0,0.0070769060000000494
41,4200,773.0,0.007208506000000059
42,4300,775.0,0.007342907000000065
43,4400,779.0,0.00747310700000009
44,4500,779.0,0.007605507000000067
45,4600,780.0,0.007734907000000069
46,4700,781.0,0.007866907000000034
47,4800,781.0,0.00799840700000004
48,4900,782.0,0.008131408000000062
49,5000,783.0,0.008268909000000102
50,5100,783.0,0.008402109000000102
51,5200,783.0,0.008537309000000104
52,5300,784.0,0.008672009000000147
53,5400,784.0,0.008804309000000177
54,5500,786.0,0.008938109000000194
55,5600,787.0,0.009073209000000193
56,5700,788.0,0.009207409000000166
57,5800,789.0,0.009338609000000164
58,5900,791.0,0.009482209000000186
59,6000,791.0,0.009616909000000229
60,6100,792.0,0.00975210900000023
61,6200,792.0,0.009904509000000228
62,6300,794.0,0.010038509000000195
63,6400,794.0,0.010173309000000186
64,6500,794.0,0.010339509000000191
65,6600,795.0,0.010475209000000207
66,6700,795.0,0.010652409000000196
67,6800,795.0,0.010849610000000232
68,6900,795.0,0.010983910000000208
69,7000,796.0,0.011115410000000214
70,7100,797.0,0.011248311000000177
71,7200,797.0,0.01138251100000015
72,7300,797.0,0.01151431100000011
73,7400,797.0,0.011650410000000111
74,7500,797.0,0.011783209000000072
75,7600,797.0,0.01191541000000007
76,7700,797.0,0.012049409000000066
77,7800,797.0,0.012182209000000055
78,7900,797.0,0.012315409000000055
79,8000,797.0,0.012448308000000019
80,8100,797.0,0.012581809
81,8200,797.0,0.012715509000000014
82,8300,797.0,0.012849109999999997
83,8400,797.0,0.012981310999999995
84,8500,797.0,0.013115211000000015
85,8600,798.0,0.013246011000000002
86,8700,798.0,0.013380510999999984
87,8800,799.0,0.013517612000000012
88,8900,799.0,0.013650912000000015
89,9000,799.0,0.013786012000000014
90,9100,799.0,0.013919212000000014
91,9200,799.0,0.01405431300000004
92,9300,799.0,0.014189113000000031
93,9400,799.0,0.01432351300000001
94,9500,799.0,0.014456312999999998
95,9600,800.0,0.014590213000000019
96,9700,800.0,0.01472311300000001
97,9800,800.0,0.014857413000000042
98,9900,800.0,0.01499031400000006
99,10000,800.0,0.015124814000000042
