iters,fevals,fitness,time
0,2000,7.0,0.000838499999998632
1,4000,18.0,0.0017352999999982188
2,6000,20.0,0.0027328999999980397
3,8000,26.0,0.0037610999999984074
4,10000,29.0,0.00475179999999753
5,12000,42.0,0.009191699999998804
6,14000,44.0,0.011315599999997872
7,16000,52.0,0.01277499999999776
8,18000,59.0,0.01441049999999855
9,20000,59.0,0.015522899999998785
10,22000,61.0,0.01663829999999855
11,24000,63.0,0.01762669999999744
12,26000,74.0,0.018867399999997758
13,28000,75.0,0.020210699999998027
14,30000,83.0,0.022337399999997842
15,32000,91.0,0.02424799999999827
16,34000,93.0,0.026006499999999377
17,36000,93.0,0.027135799999998156
18,38000,95.0,0.028785999999998424
19,40000,101.0,0.030071899999997598
20,42000,107.0,0.03200759999999825
21,44000,110.0,0.03307009999999799
22,46000,111.0,0.034406499999997564
23,48000,113.0,0.035461999999998994
24,50000,116.0,0.03688239999999787
25,52000,122.0,0.03884959999999893
26,54000,122.0,0.03988820000000004
27,56000,124.0,0.04094609999999932
28,58000,127.0,0.041978799999998984
29,60000,130.0,0.043874799999999325
30,62000,134.0,0.04497219999999835
31,64000,135.0,0.04647280000000009
32,66000,135.0,0.0479409000000004
33,68000,136.0,0.0491413000000005
34,70000,144.0,0.050632500000000746
35,72000,151.0,0.05299090000000106
36,74000,154.0,0.055929000000000784
37,76000,162.0,0.06041790000000091
38,78000,172.0,0.06344470000000157
39,80000,177.0,0.06549910000000203
40,82000,183.0,0.06806580000000295
41,84000,184.0,0.07057850000000343
42,86000,186.0,0.07275140000000313
43,88000,192.0,0.07504420000000422
44,90000,201.0,0.0771920000000037
45,92000,202.0,0.07870090000000296
46,94000,203.0,0.08110030000000279
47,96000,207.0,0.08266560000000389
48,98000,213.0,0.08391970000000448
49,100000,214.0,0.08515380000000583
50,102000,222.0,0.0877051000000062
51,104000,240.0,0.08955980000000707
52,106000,245.0,0.09159530000000693
53,108000,255.0,0.09327800000000686
54,110000,264.0,0.0951589000000066
55,112000,270.0,0.09715600000000713
56,114000,271.0,0.09904160000000672
57,116000,276.0,0.10088890000000639
58,118000,288.0,0.10379080000000762
59,120000,299.0,0.10667230000000849
60,122000,304.0,0.1092171000000075
61,124000,309.0,0.11164530000000816
62,126000,319.0,0.11355700000000724
63,128000,324.0,0.11551320000000587
64,130000,327.0,0.1179967000000044
65,132000,338.0,0.12183730000000459
66,134000,340.0,0.12398650000000444
67,136000,343.0,0.12589660000000436
68,138000,348.0,0.12804450000000323
69,140000,349.0,0.12944860000000347
70,142000,356.0,0.13092950000000414
71,144000,360.0,0.1327635000000047
72,146000,363.0,0.1350615000000044
73,148000,370.0,0.13713560000000413
74,150000,371.0,0.13926260000000568
75,152000,374.0,0.14125510000000574
76,154000,376.0,0.14401020000000564
77,156000,379.0,0.14554030000000573
78,158000,400.0,0.14697480000000596
79,160000,400.0,0.14841550000000758
80,162000,400.0,0.15053060000000684
81,164000,400.0,0.15293330000000793
82,166000,400.0,0.15495070000000766
83,168000,400.0,0.15725390000000772
84,170000,400.0,0.15996760000000698
85,172000,400.0,0.1620987000000067
86,174000,400.0,0.16420810000000685
87,176000,400.0,0.16690560000000687
88,178000,400.0,0.16976440000000537
89,180000,400.0,0.1725906000000066
90,182000,400.0,0.17504860000000555
91,184000,400.0,0.17650110000000474
92,186000,400.0,0.17792320000000572
93,188000,400.0,0.17934970000000483
94,190000,400.0,0.1823853000000053
95,192000,400.0,0.18524660000000637
96,194000,400.0,0.18750430000000584
97,196000,400.0,0.18983880000000575
98,198000,400.0,0.19174060000000637
99,200000,400.0,0.19350130000000654
100,202000,400.0,0.19492890000000784
101,204000,400.0,0.19652330000000795
102,206000,400.0,0.19841250000000699
103,208000,400.0,0.20065510000000764
104,210000,400.0,0.20267260000000853
105,212000,400.0,0.20518890000000845
106,214000,400.0,0.20739710000000855
107,216000,400.0,0.20906620000000942
108,218000,400.0,0.21048170000000965
109,220000,400.0,0.21286790000000977
110,222000,400.0,0.21434250000000965
111,224000,400.0,0.2165427000000104
112,226000,400.0,0.21869080000000984
113,228000,400.0,0.22124430000000928
114,230000,400.0,0.22306430000000788
115,232000,400.0,0.22510450000000937
116,234000,400.0,0.22660350000001017
117,236000,400.0,0.2280449000000111
118,238000,400.0,0.22967950000001025
119,240000,400.0,0.2311361000000094
120,242000,400.0,0.23263000000000922
121,244000,400.0,0.23410100000000789
122,246000,400.0,0.2367549000000082
123,248000,400.0,0.23965690000000706
124,250000,400.0,0.24408400000000618
125,252000,400.0,0.24574360000000617
126,254000,400.0,0.24716230000000472
127,256000,400.0,0.24858350000000407
128,258000,400.0,0.2500124000000046
129,260000,400.0,0.2515984000000042
130,262000,400.0,0.25303350000000435
131,264000,400.0,0.2544546000000043
132,266000,400.0,0.2558874000000042
133,268000,400.0,0.2573063000000051
134,270000,400.0,0.2587371000000047
135,272000,400.0,0.2601598000000056
136,274000,400.0,0.26159360000000653
137,276000,400.0,0.26302760000000625
138,278000,400.0,0.26445700000000727
139,280000,400.0,0.26666920000000793
140,282000,400.0,0.2685909000000084
141,284000,400.0,0.2702256000000087
142,286000,400.0,0.271595500000009
143,288000,400.0,0.2729435000000091
144,290000,400.0,0.27430470000000895
145,292000,400.0,0.2756835000000084
146,294000,400.0,0.27704160000000755
147,296000,400.0,0.27844730000000695
148,298000,400.0,0.2798034000000058
149,300000,400.0,0.28118800000000554
