iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.127403457,0.127403457,0.127403457,0.511485452,0.511485452,0.511485452,0.489054992,0.489054992,0.489054992,0.0082883
10,0.126220882,0.126220882,0.126220882,0.526288923,0.526288923,0.526288923,0.499460626,0.499460626,0.499460626,0.0627082
20,0.122920225,0.122920225,0.122920225,0.550025523,0.550025523,0.550025523,0.548064599,0.548064599,0.548064599,0.1098727
30,0.121126098,0.121126098,0.121126098,0.575038285,0.575038285,0.575038285,0.594199366,0.594199366,0.594199366,0.1505322
40,0.121546214,0.121546214,0.121546214,0.57452782,0.57452782,0.57452782,0.595682755,0.595682755,0.595682755,0.221074
50,0.115053565,0.115053565,0.115053565,0.620214395,0.620214395,0.620214395,0.671378092,0.671378092,0.671378092,0.2782883
60,0.115949197,0.115949197,0.115949197,0.619448698,0.619448698,0.619448698,0.671223815,0.671223815,0.671223815,0.3207138
70,0.114254984,0.114254984,0.114254984,0.63093415,0.63093415,0.63093415,0.684829991,0.684829991,0.684829991,0.3648041
80,0.112865211,0.112865211,0.112865211,0.642419602,0.642419602,0.642419602,0.705362776,0.705362776,0.705362776,0.3988821
90,0.112350801,0.112350801,0.112350801,0.651607963,0.651607963,0.651607963,0.716275203,0.716275203,0.716275203,0.4391465
100,0.108239849,0.108239849,0.108239849,0.681470138,0.681470138,0.681470138,0.747878788,0.747878788,0.747878788,0.4768128
110,0.107901617,0.107901617,0.107901617,0.678152118,0.678152118,0.678152118,0.746939595,0.746939595,0.746939595,0.499484
120,0.107655105,0.107655105,0.107655105,0.677641654,0.677641654,0.677641654,0.74623267,0.74623267,0.74623267,0.5407278
130,0.108524632,0.108524632,0.108524632,0.668963757,0.668963757,0.668963757,0.728490685,0.728490685,0.728490685,0.5706634
140,0.104767096,0.104767096,0.104767096,0.692445125,0.692445125,0.692445125,0.759336928,0.759336928,0.759336928,0.5988759
150,0.104598238,0.104598238,0.104598238,0.693210822,0.693210822,0.693210822,0.760653126,0.760653126,0.760653126,0.6262434
160,0.100297381,0.100297381,0.100297381,0.694231751,0.694231751,0.694231751,0.771199389,0.771199389,0.771199389,0.6626337
170,0.0999506,0.0999506,0.0999506,0.698570699,0.698570699,0.698570699,0.773971292,0.773971292,0.773971292,0.6963229
180,0.099311655,0.099311655,0.099311655,0.698060235,0.698060235,0.698060235,0.775819594,0.775819594,0.775819594,0.7471558
190,0.097856958,0.097856958,0.097856958,0.70316488,0.70316488,0.70316488,0.779776557,0.779776557,0.779776557,0.792579
200,0.098273174,0.098273174,0.098273174,0.698570699,0.698570699,0.698570699,0.776113744,0.776113744,0.776113744,0.8344327
210,0.097732134,0.097732134,0.097732134,0.706227667,0.706227667,0.706227667,0.782048854,0.782048854,0.782048854,0.8771978
220,0.097612864,0.097612864,0.097612864,0.704951506,0.704951506,0.704951506,0.780977643,0.780977643,0.780977643,0.9282791
230,0.09465036,0.09465036,0.09465036,0.711587545,0.711587545,0.711587545,0.790663209,0.790663209,0.790663209,0.9753734
240,0.094775854,0.094775854,0.094775854,0.710311383,0.710311383,0.710311383,0.785322489,0.785322489,0.785322489,1.0148898
250,0.092452846,0.092452846,0.092452846,0.7223073,0.7223073,0.7223073,0.800073502,0.800073502,0.800073502,1.0574978
260,0.092761938,0.092761938,0.092761938,0.721796835,0.721796835,0.721796835,0.795189778,0.795189778,0.795189778,1.0942402
270,0.091294647,0.091294647,0.091294647,0.726135784,0.726135784,0.726135784,0.803443854,0.803443854,0.803443854,1.131764
280,0.090113082,0.090113082,0.090113082,0.733537519,0.733537519,0.733537519,0.808580858,0.808580858,0.808580858,1.1644901
290,0.088768779,0.088768779,0.088768779,0.734303216,0.734303216,0.734303216,0.813941019,0.813941019,0.813941019,1.2010978
300,0.0884763,0.0884763,0.0884763,0.735324145,0.735324145,0.735324145,0.819934016,0.819934016,0.819934016,1.2460194
310,0.088098442,0.088098442,0.088098442,0.734303216,0.734303216,0.734303216,0.817400456,0.817400456,0.817400456,1.2866269
320,0.087174255,0.087174255,0.087174255,0.741449719,0.741449719,0.741449719,0.819074835,0.819074835,0.819074835,1.3216494
330,0.086672849,0.086672849,0.086672849,0.745788668,0.745788668,0.745788668,0.820540541,0.820540541,0.820540541,1.3567341
340,0.086518685,0.086518685,0.086518685,0.74834099,0.74834099,0.74834099,0.822725638,0.822725638,0.822725638,1.3899547
350,0.086135669,0.086135669,0.086135669,0.746299132,0.746299132,0.746299132,0.821863799,0.821863799,0.821863799,1.4422436
360,0.085967128,0.085967128,0.085967128,0.749872384,0.749872384,0.749872384,0.824435686,0.824435686,0.824435686,1.47463
370,0.08578975,0.08578975,0.08578975,0.751914242,0.751914242,0.751914242,0.825179856,0.825179856,0.825179856,1.5030356
380,0.085737573,0.085737573,0.085737573,0.752169474,0.752169474,0.752169474,0.825139564,0.825139564,0.825139564,1.5299903
390,0.085443221,0.085443221,0.085443221,0.750382848,0.750382848,0.750382848,0.823465704,0.823465704,0.823465704,1.5698263
400,0.085281201,0.085281201,0.085281201,0.752424706,0.752424706,0.752424706,0.825162221,0.825162221,0.825162221,1.5917211
410,0.084853649,0.084853649,0.084853649,0.748851455,0.748851455,0.748851455,0.824097247,0.824097247,0.824097247,1.6267674
420,0.084524733,0.084524733,0.084524733,0.755487494,0.755487494,0.755487494,0.830081589,0.830081589,0.830081589,1.6502022
430,0.083924572,0.083924572,0.083924572,0.754721797,0.754721797,0.754721797,0.825684745,0.825684745,0.825684745,1.6712966
440,0.083707686,0.083707686,0.083707686,0.752169474,0.752169474,0.752169474,0.824760873,0.824760873,0.824760873,1.6926237
450,0.083356245,0.083356245,0.083356245,0.757784584,0.757784584,0.757784584,0.829592386,0.829592386,0.829592386,1.7194949
460,0.08272828,0.08272828,0.08272828,0.757018887,0.757018887,0.757018887,0.825768668,0.825768668,0.825768668,1.7483351
470,0.082648783,0.082648783,0.082648783,0.758805513,0.758805513,0.758805513,0.826637314,0.826637314,0.826637314,1.7871571
480,0.082594885,0.082594885,0.082594885,0.759060745,0.759060745,0.759060745,0.827106227,0.827106227,0.827106227,1.81253
490,0.082456235,0.082456235,0.082456235,0.759060745,0.759060745,0.759060745,0.826534362,0.826534362,0.826534362,1.8430604
500,0.081946856,0.081946856,0.081946856,0.762123532,0.762123532,0.762123532,0.829116245,0.829116245,0.829116245,1.8697192
510,0.081897664,0.081897664,0.081897664,0.764675855,0.764675855,0.764675855,0.827534605,0.827534605,0.827534605,1.8991923
520,0.083484097,0.083484097,0.083484097,0.757529352,0.757529352,0.757529352,0.828705373,0.828705373,0.828705373,1.9330851
530,0.081777615,0.081777615,0.081777615,0.766207249,0.766207249,0.766207249,0.830307521,0.830307521,0.830307521,1.9538153
540,0.081517262,0.081517262,0.081517262,0.764931087,0.764931087,0.764931087,0.83029298,0.83029298,0.83029298,1.9866939
550,0.08159899,0.08159899,0.08159899,0.767993874,0.767993874,0.767993874,0.834877384,0.834877384,0.834877384,2.0108005
560,0.081290278,0.081290278,0.081290278,0.770801429,0.770801429,0.770801429,0.835350202,0.835350202,0.835350202,2.0417006
570,0.081333957,0.081333957,0.081333957,0.770546197,0.770546197,0.770546197,0.83609845,0.83609845,0.83609845,2.0800317
580,0.0812588,0.0812588,0.0812588,0.771567126,0.771567126,0.771567126,0.835990471,0.835990471,0.835990471,2.1100267
590,0.081241857,0.081241857,0.081241857,0.769270036,0.769270036,0.769270036,0.835336976,0.835336976,0.835336976,2.1323915
600,0.080912763,0.080912763,0.080912763,0.768759571,0.768759571,0.768759571,0.834792123,0.834792123,0.834792123,2.1527531
610,0.08084744,0.08084744,0.08084744,0.769270036,0.769270036,0.769270036,0.835994194,0.835994194,0.835994194,2.1750804
620,0.080995685,0.080995685,0.080995685,0.76748341,0.76748341,0.76748341,0.833424758,0.833424758,0.833424758,2.1957178
630,0.080553223,0.080553223,0.080553223,0.766972945,0.766972945,0.766972945,0.833909405,0.833909405,0.833909405,2.2308059
