iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.150227994,0.154235589,0.151113138,0.39050536,0.373469388,0.395918367,0.368921776,0.336933045,0.359307359,0.0014554
10,0.15351786,0.157944745,0.154171866,0.39050536,0.383673469,0.381632653,0.38358286,0.373443983,0.356687898,0.01601
20,0.154794933,0.15859262,0.154575009,0.376212353,0.381632653,0.371428571,0.324488668,0.328159645,0.303167421,0.0302905
30,0.175206659,0.182736485,0.176365618,0.348902501,0.332653061,0.336734694,0.162233169,0.141732283,0.123989218,0.0450347
40,0.191785677,0.201607407,0.193967923,0.335119959,0.330612245,0.351020408,0.073283529,0.057471264,0.091428571,0.0601374
50,0.194440785,0.210585274,0.198223084,0.371618173,0.306122449,0.326530612,0.290898618,0.198113208,0.221698113,0.0748506
60,0.206674694,0.221125191,0.208133816,0.366258295,0.328571429,0.344897959,0.257698057,0.191646192,0.203473945,0.0892649
70,0.209418266,0.223697557,0.210566074,0.36345074,0.328571429,0.346938776,0.249699158,0.191646192,0.2,0.1043126
80,0.218038113,0.235711242,0.219459203,0.36115365,0.306122449,0.357142857,0.282190995,0.212962963,0.258823529,0.1189734
90,0.218166317,0.235292686,0.218443024,0.360132721,0.320408163,0.359183673,0.278561151,0.223776224,0.255924171,0.1397394
100,0.219269862,0.237871657,0.221351833,0.360387953,0.310204082,0.353061224,0.277809798,0.210280374,0.254117647,0.15685
110,0.222374002,0.241072946,0.224820134,0.348136804,0.293877551,0.336734694,0.25495916,0.187793427,0.220623501,0.1734982
120,0.22339373,0.242098924,0.225333197,0.34992343,0.293877551,0.344897959,0.253298153,0.187793427,0.226506024,0.189804
130,0.215528753,0.231362448,0.216876527,0.35553854,0.310204082,0.332653061,0.254942461,0.195238095,0.188585608,0.2136668
140,0.212575074,0.228518652,0.213897105,0.357580398,0.312244898,0.342857143,0.26381983,0.199524941,0.206896552,0.2330338
150,0.211552348,0.227045537,0.2127666,0.354772843,0.314285714,0.33877551,0.265969803,0.203791469,0.201970443,0.2527414
160,0.201838926,0.214998547,0.202806208,0.363195508,0.324489796,0.359183673,0.24233222,0.170426065,0.211055276,0.2702281
170,0.200667743,0.213380889,0.201332559,0.369576314,0.342857143,0.357142857,0.254227053,0.202970297,0.210526316,0.288283
180,0.202179135,0.213661896,0.202310891,0.36906585,0.334693878,0.36122449,0.24218271,0.189054726,0.195372751,0.3044904
190,0.195234542,0.207477646,0.195571461,0.359622256,0.342857143,0.348979592,0.189337641,0.148148148,0.135501355,0.3220598
200,0.190668803,0.20163384,0.190749236,0.37136294,0.353061224,0.369387755,0.195360993,0.136239782,0.153424658,0.3375877
210,0.176647825,0.185643921,0.175348244,0.402501276,0.395918367,0.412244898,0.255643879,0.244897959,0.225806452,0.3530378
220,0.175349371,0.183816503,0.173665779,0.398162328,0.397959184,0.402040816,0.249522597,0.249363868,0.214477212,0.3684307
230,0.169021665,0.181196238,0.16969506,0.410668709,0.365306122,0.389795918,0.346817539,0.291571754,0.306264501,0.3844685
240,0.16711421,0.181827811,0.167781605,0.413986728,0.37755102,0.385714286,0.376425856,0.335511983,0.332594235,0.3998571
250,0.161685333,0.175265082,0.162545175,0.423430322,0.391836735,0.424489796,0.365627633,0.322727273,0.373333333,0.4233953
260,0.159133869,0.171611696,0.160234007,0.432618683,0.4,0.418367347,0.397070789,0.352422907,0.370860927,0.4397958
270,0.13321348,0.140072728,0.135698886,0.51352731,0.485714286,0.516326531,0.553629977,0.513513514,0.532544379,0.455512
280,0.116491055,0.117942111,0.117141524,0.611536498,0.626530612,0.620408163,0.691778048,0.701468189,0.686868687,0.4705276
