iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.146177359,0.15279238,0.148431998,0.437212864,0.4,0.426530612,0.395724856,0.322580645,0.362811791,0.5012856
10,0.151058009,0.151036357,0.150739363,0.462225625,0.475510204,0.469387755,0.567972114,0.583468395,0.583333333,5.546425
20,0.11213516,0.107846933,0.116052662,0.666156202,0.683673469,0.653061224,0.792906903,0.804045512,0.783715013,10.0347294
30,0.133765934,0.134892514,0.139967298,0.667687596,0.663265306,0.646938776,0.800734619,0.797546012,0.785625774,14.0898831
40,0.12164063,0.123610735,0.128911433,0.666411434,0.659183673,0.648979592,0.799509127,0.794587946,0.786600496,18.7810706
50,0.112018873,0.11144376,0.11854432,0.665390505,0.657142857,0.646938776,0.796964535,0.791563275,0.783479349,23.2188239
60,0.113208595,0.108400967,0.112134615,0.655691679,0.653061224,0.653061224,0.786651906,0.785894207,0.783163265,27.6889083
70,0.118375921,0.11265195,0.118722106,0.667177131,0.663265306,0.644897959,0.800061331,0.797546012,0.78358209,32.4142254
80,0.104961072,0.101196895,0.102667215,0.64446146,0.667346939,0.671428571,0.720561685,0.741679873,0.739903069,37.0302562
90,0.114788744,0.110911843,0.116621022,0.635017866,0.62244898,0.614285714,0.764337508,0.756898817,0.749003984,40.7410755
100,0.113507993,0.110654118,0.113953492,0.659264931,0.653061224,0.632653061,0.781755763,0.778067885,0.761904762,44.5250013
110,0.098776398,0.09425857,0.099014862,0.683001531,0.667346939,0.651020408,0.805512058,0.795994994,0.781049936,48.2690633
120,0.113205412,0.109908778,0.117777029,0.670750383,0.679591837,0.66122449,0.796914358,0.802515723,0.789340102,52.1470293
130,0.10704713,0.099914896,0.103274989,0.659775396,0.687755102,0.66122449,0.757944434,0.78111588,0.755882353,55.8039142
140,0.109514175,0.10684688,0.113783977,0.671005615,0.675510204,0.646938776,0.800865132,0.802484472,0.784019975,59.8199728
150,0.10655985,0.096609357,0.103575152,0.659264931,0.681632653,0.671428571,0.767866458,0.782729805,0.774825175,63.7829967
160,0.097588656,0.092798621,0.099034605,0.70086779,0.716326531,0.683673469,0.796527778,0.803394625,0.781382228,67.7545805
170,0.098755962,0.094719209,0.099580437,0.692700357,0.675510204,0.683673469,0.801973684,0.786002692,0.792503347,71.6548354
180,0.100214346,0.100756441,0.105424967,0.682235835,0.681632653,0.653061224,0.80089557,0.798969072,0.777486911,75.5622491
190,0.098492461,0.096091336,0.102656207,0.685809086,0.675510204,0.66122449,0.805866583,0.796414853,0.786632391,79.5268291
200,0.099413912,0.093873202,0.101662932,0.679173047,0.673469388,0.669387755,0.779124934,0.775910364,0.771830986,84.0256628
210,0.095382796,0.09449612,0.097426159,0.704441041,0.687755102,0.667346939,0.799445791,0.788381743,0.767475036,88.7203781
220,0.096185216,0.095429041,0.101107309,0.691424196,0.669387755,0.655102041,0.806714628,0.79015544,0.78023407,93.6698681
230,0.093733095,0.088393836,0.095026533,0.692445125,0.704081633,0.673469388,0.78698957,0.792560801,0.764705882,97.712823
240,0.095875397,0.09142172,0.096278874,0.696784074,0.702040816,0.683673469,0.789883268,0.793201133,0.773722628,101.6635189
250,0.094521539,0.090339077,0.093052192,0.704185809,0.724489796,0.702040816,0.784131123,0.79880775,0.773993808,105.5654017
260,0.092287635,0.089025305,0.095463461,0.718478816,0.726530612,0.685714286,0.808140546,0.8101983,0.778735632,109.3911454
270,0.092312271,0.089088269,0.09505248,0.725114855,0.724489796,0.695918367,0.808055605,0.806312769,0.782481752,113.2258402
280,0.092011149,0.088770931,0.092590707,0.717202654,0.724489796,0.681632653,0.791022256,0.798206278,0.759259259,117.0145461
290,0.094958912,0.089472956,0.09451058,0.704185809,0.720408163,0.687755102,0.786043936,0.795827124,0.764976959,120.8168772
300,0.094956013,0.090282303,0.099212462,0.701888719,0.697959184,0.67755102,0.805915587,0.798365123,0.785907859,124.6870348
310,0.092414212,0.086048879,0.090152622,0.704696274,0.740816327,0.72244898,0.801441565,0.823365786,0.803468208,128.5724038
320,0.093755354,0.088724212,0.092248088,0.713629403,0.708163265,0.689795918,0.811428571,0.810092961,0.790633609,132.3074997
330,0.093372886,0.090816254,0.096220073,0.711842777,0.702040816,0.693877551,0.809129332,0.802168022,0.79281768,136.2500254
340,0.091615021,0.087129064,0.094609033,0.712608474,0.704081633,0.683673469,0.804513889,0.79944675,0.776334776,140.9523028
350,0.090854848,0.087050937,0.092354747,0.727922409,0.720408163,0.687755102,0.809234073,0.800582242,0.772659733,145.8298003
360,0.103410319,0.095724136,0.098912574,0.688616641,0.720408163,0.718367347,0.759747932,0.784251969,0.779552716,150.8721349
370,0.093997158,0.095040063,0.09890452,0.707248596,0.697959184,0.667346939,0.805626165,0.801075269,0.771388499,155.6792661
380,0.093608723,0.090992362,0.096999731,0.711842777,0.706122449,0.681632653,0.813911324,0.806451613,0.790884718,159.9740788
390,0.091965251,0.090041166,0.094836135,0.727411945,0.708163265,0.67755102,0.817809621,0.802213001,0.776203966,164.2215968
400,0.094484323,0.090049791,0.097092722,0.720010209,0.72244898,0.685714286,0.820252335,0.819148936,0.793565684,168.3161001
410,0.091578019,0.089039241,0.092713161,0.730474732,0.716326531,0.697959184,0.824642976,0.813922356,0.79558011,172.4539012
420,0.096188806,0.092404459,0.095503689,0.710566616,0.734693878,0.72244898,0.783670355,0.804216867,0.7875,176.2680731
430,0.093238336,0.087079025,0.093904389,0.711332312,0.706122449,0.7,0.810584492,0.803814714,0.796680498,180.1103149
440,0.092212311,0.088756031,0.091942045,0.723072996,0.718367347,0.706122449,0.819076205,0.816,0.801652893,183.9768099
450,0.091477552,0.088771786,0.094249301,0.733792751,0.732653061,0.710204082,0.825322392,0.822733424,0.804945055,188.1831212
460,0.092326868,0.087851302,0.092567406,0.72460439,0.718367347,0.697959184,0.820076705,0.815013405,0.796143251,192.200236
470,0.093665268,0.088742608,0.093106829,0.713884635,0.720408163,0.689795918,0.81625963,0.818061089,0.794594595,196.5614411
